NAME,TM,POS,G,⬇M,AJP48,WP48,WP,POP48,PTS,REB,AST
Andrew Bogut,GSW,4.8,67,1769,0.501,0.311,11.5,6.6,13.3,18.2,3.0
Tony Wroten,PHI,1.6,72,1765,0.025,-0.056,-2.1,-4.8,25.5,6.2,5.9
Patrick Beverley,HOU,1.0,56,1751,0.21,0.129,4.7,0.9,15.7,5.4,4.1
Hollis Thompson,PHI,2.7,77,1742,0.204,0.123,4.4,0.7,12.7,6.8,2.0
Marcus Thornton,"SAC, BRK",1.9,72,1741,0.134,0.053,1.9,-1.4,19.4,5.5,2.1
Matt Barnes,LAC,3.0,63,1735,0.205,0.123,4.4,0.7,17.3,8.1,3.5
Jared Dudley,LAC,3.2,74,1729,0.143,0.039,1.4,-1.9,14.2,4.4,2.9
John Salmons,(3+),3.0,78,1726,0.138,0.057,2.0,-1.3,11.2,4.5,4.1
Mike Miller,MEM,2.7,82,1707,0.237,0.156,5.5,1.8,16.3,5.8,3.7
Jerryd Bayless,"MEM, BOS",1.2,72,1686,0.106,0.024,0.9,-2.3,19.0,4.1,5.5
Marvin Williams,UTH,4.0,66,1674,0.239,0.05,1.7,-1.5,17.3,9.6,2.2
Brian Roberts,NOR,1.0,72,1667,0.118,0.037,1.3,-1.9,19.5,3.9,6.7
Nikola Pekovic,MIN,5.0,54,1663,0.355,0.166,5.7,2.1,27.2,13.5,1.4
Tyson Chandler,"DAL, NYK",5.0,55,1662,0.429,0.24,8.3,4.4,13.9,15.3,1.7
Glen Davis,"ORL, LAC",4.0,68,1662,0.182,-0.007,-0.3,-3.3,18.5,10.1,2.2
Danny Green,SAS,2.1,68,1651,0.258,0.176,6.0,2.4,18.0,6.7,3.0
Dante Cunningham,MIN,4.0,81,1635,0.234,0.045,1.5,-1.7,15.0,9.7,2.4
Andray Blatche,BRK,4.0,73,1618,0.259,0.07,2.3,-0.9,24.4,11.6,3.3
Samuel Dalembert,"NYK, DAL",5.0,80,1614,0.399,0.209,7.0,3.4,15.7,16.1,1.1
Thabo Sefolosha,OKC,2.5,61,1584,0.243,0.161,5.3,1.9,11.6,6.7,2.8
Kentavious Caldwell-Pope,DET,2.1,80,1583,0.113,0.032,1.0,-2.1,14.3,4.7,1.7
Kendall Marshall,LAL,1.0,54,1564,0.206,0.125,4.1,0.8,13.2,4.8,14.6
Nene Hilario,WAS,4.1,53,1560,0.21,0.02,0.7,-2.5,23.2,9.0,4.7
Aaron Brooks,"HOU, DEN",1.0,72,1557,0.111,0.03,1.0,-2.2,19.9,4.3,7.2
Trevor Booker,WAS,4.0,72,1553,0.352,0.162,5.3,2.0,15.2,11.7,2.0
Manu Ginobili,SAS,3.0,68,1550,0.281,0.199,6.4,3.1,26.0,6.3,9.1
Jeremy Lamb,OKC,2.0,78,1538,0.152,0.07,2.3,-0.9,20.8,5.9,3.6
