Year,name,team,position,games_played,minutes,adjusted_plus_minus_per_48,wins_produced_per_48,wins_produced,points_over_par_per_48,points_per_48,rebounds_per_48,assists_per_48
2005,Alvin Williams,TOR,2.0,1,10.0,-0.202,-0.27,-0.1,-11.5,4.9,14.8,0.0
2005,Martynas Andriuskevicius,CLE,5.0,6,9.0,0.618,0.464,0.1,11.4,0.0,20.5,0.0
2005,Stanislav Medvedenko,LAL,5.0,2,6.0,0.026,-0.129,0.0,-7.1,15.4,0.0,7.7
2005,Deng Gai,PHI,4.0,2,5.0,0.081,-0.074,0.0,-5.4,0.0,0.0,0.0
2005,Matt Walsh,MIA,2.5,2,3.0,-0.417,-0.485,0.0,-18.2,28.5,0.0,0.0
2005,Bryon Russell,DEN,2.5,1,3.0,0.711,0.644,0.0,16.9,0.0,18.8,18.8
2005,Nene Hilario,DEN,5.0,1,3.0,-2.171,-2.325,-0.1,-75.4,0.0,0.0,0.0
2005,Randy Holcomb,CHI,4.0,4,2.0,0.718,0.564,0.0,14.4,41.4,20.7,0.0
2005,Alex Scales,SAS,2.0,1,,0.12,0.053,0.0,-1.4,0.0,0.0,0.0
2005,Charles Smith,,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
