0,1,2,3,4,5,6,7,8
,,Production,Production,Production,On Court/Off Court,On Court/Off Court,On Court/Off Court,Roland
Player,Min,Own,Opp,Net,On,Off,Net,Rating
Fazekas,0%,16.1,0.3,+15.8,+0.0,+4.5,-4.5,+7.7
Jo.Howard,70%,20.9,14.2,+6.7,+7.2,-1.8,+9.1,+7.6
Kidd,26%,21.0,15.0,+6.0,+6.9,+3.7,+3.2,+4.9
Terry,65%,20.2,14.9,+5.3,+5.7,+2.3,+3.4,+4.6
Harris,30%,20.4,18.7,+1.6,+8.8,+2.7,+6.1,+3.4
Barea,12%,13.5,15.2,-1.6,+5.5,+4.4,+1.2,-0.5
Dampier,44%,17.1,18.6,-1.5,+4.6,+4.4,+0.2,-0.8
Diop,23%,14.9,16.8,-1.9,+4.4,+4.6,-0.2,-1.2
Stackhouse,36%,15.3,15.7,-0.4,+2.1,+5.9,-3.7,-1.8
Jones,23%,8.9,15.0,-6.1,+6.2,+4.0,+2.1,-2.8
Bass,39%,18.0,17.7,+0.4,-1.2,+8.3,-9.5,-3.6
Allen,8%,10.3,24.7,-14.3,+8.8,+4.1,+4.7,-6.7
Wright,4%,10.3,18.1,-7.8,-1.6,+4.8,-6.5,-7.2
George,21%,8.3,15.5,-7.2,-2.0,+6.3,-8.3,-7.6
Lue,4%,10.7,22.2,-11.5,-6.1,+5.0,-11.1,-11.4
Magloire,1%,-1.4,23.8,-25.1,+8.8,+4.5,+4.3,-13.3
Ju.Howard,9%,5.4,20.9,-15.5,-7.1,+5.6,-12.7,-14.4
Hassell,12%,5.5,21.1,-15.6,-9.5,+6.4,-15.9,-15.7
Ager,2%,-4.3,21.5,-25.7,-7.5,+4.8,-12.3,-20.3
,,Production,Production,Production,On Court/Off Court,On Court/Off Court,On Court/Off Court,Roland
Player,Min,Own,Opp,Net,On,Off,Net,Rating
Iverson,86%,23.4,14.1,+9.3,+5.1,-5.0,+10.1,+9.6
Smith,36%,20.4,15.9,+4.5,+6.7,+2.0,+4.7,+4.6
Anthony,71%,23.8,16.5,+7.2,+2.7,+5.9,-3.2,+3.1
Camby,69%,19.4,16.2,+3.2,+4.0,+3.0,+0.9,+2.3
Kleiza,48%,16.3,17.3,-1.0,+6.2,+1.4,+4.7,+1.3
Green,1%,10.5,12.3,-1.9,+9.6,+3.6,+6.0,+1.3
Najera,42%,13.6,18.6,-5.1,+9.1,-0.2,+9.3,+0.7
Nene,7%,12.7,13.4,-0.8,+0.7,+3.9,-3.2,-1.7
Wilks,3%,7.3,9.8,-2.5,+0.4,+3.8,-3.4,-2.9
Martin,54%,16.6,19.1,-2.5,+2.1,+5.5,-3.4,-2.9
Carter,49%,14.4,18.7,-4.3,+0.1,+7.2,-7.1,-5.4
Diawara,14%,9.3,16.5,-7.3,+1.3,+4.0,-2.7,-5.4
Atkins,9%,10.3,17.2,-6.9,-1.8,+4.2,-6.0,-6.5
Hunter,3%,9.9,16.5,-6.6,-8.9,+4.1,-13.0,-9.2
Jones,6%,9.8,19.7,-9.9,-8.8,+4.4,-13.3,-11.3
